standardized,pEC50
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CC=CC=N3)N2C2=C(F)C=CC=C2F)N=C1,8.30980392
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(Cl)C=N3)N2C2=C(F)C=CC=C2F)=N1,9.795880017
COC1=NC=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=NC(OC)=CC=C3)N2C2=C(F)C=CC=C2F)N=C1,9.27572413
CC1=NC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(Cl)C=N3)N2C2=C(F)C=CC=C2F)=CC=C1,9.075720714
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)N=C3)N2C2=C(F)C=CC=C2F)=N1,8.721246399
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CC=CC(C)=N3)N2C2=C(F)C=CC=C2F)C=N1,7.698970004
CNC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)C=N3)N2C2=C(F)C=CC=C2F)=N1,9.200659451
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC=C3)N2C2=C(F)C=CC=C2F)N=C1,7.823908741
COC1=NC=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(F)C=CC=C2F)N=C1,8.180456064
CC1=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)N=C3)N2C2=C(F)C=CC=C2F)=CN=C1,7.522878745
CC1=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(Cl)C=N3)N2C2=C(F)C=CC=C2F)=CN=C1,8.958607315
COC1=CC=CC=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CN=CC(C)=C1,8.619788758
COC1NCNC(=O)C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(Cl)C=C2)=NN=C1C1=CN=CC=C1,8.455931956
CC(C1=NC=C(Cl)C=C1)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC=C2)N1C1C(=O)NCNC1O,6.113509275
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(F)C=CC=C2F)N=C1,8.769551079
COC1=CC=CC(C2=NN=C(NS(=O)(=O)CC3CC3)N2C2=C(OC)C=CC=C2OC)=N1,6.958607315
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(Cl)C=N3)N2C2CCOCC2)=N1,7.886056648
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(Cl)C=C3)N2C2CCOCC2)=N1,7.886056648
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(Cl)C=C3)N2C2CCOCC2)=N1,8.065501549
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)N=C3)N2C2CCOCC2)=N1,6.013228266
